Entry	Entry name	Gene names
Q05809	COA4_YEAST	COA4 CMC3 YLR218C
P38772	BCD1_YEAST	BCD1 YHR040W
P35497	DHSO1_YEAST	SOR1 SDH1 YJR159W J2395
A7A0P8	DRS1_YEAS7	DRS1 SCY_3572
Q02784	GLRX5_YEAST	GRX5 YPL059W LPE13W
B3LNB2	EDS1_YEAS1	EDS1 SCRG_02933
D3UEC9	EDS1_YEAS8	EDS1 EC1118_1B15_1640g
Q12050	ELG1_YEAST	ELG1 RTT110 YOR144C O3510 YOR3510C
P38213	DSF2_YEAST	DSF2 YBR007C YBR0113
P40008	FMP52_YEAST	FMP52 YER004W
P02992	EFTU_YEAST	TUF1 TUFM YOR187W
P40507	AIR1_YEAST	AIR1 YIL079C
P47112	CDT1_YEAST	TAH11 CDT1 SID2 YJR046W J1641
P35201	CENPC_YEAST	MIF2 YKL089W
P38907	CENPN_YEAST	CHL4 CTF17 MCM17 YDR254W YD9320A.04
P32798	COT1_YEAST	COT1 YOR316C O6131
Q07457	BRE1_YEAST	BRE1 YDL074C
P53954	ALG11_YEAST	ALG11 YNL048W N2510 YNL2510W
P32457	CDC3_YEAST	CDC3 YLR314C L8543.7
P53968	CRZ1_YEAST	CRZ1 HAL8 TCN1 YNL027W N2760
Q06538	CSC1_YEAST	CSC1 YLR241W
P22108	APA2_YEAST	APA2 YDR530C D9719.33
A6ZWA5	ATG5_YEAS7	ATG5 SCY_5582
P38862	ATG7_YEAST	ATG7 APG7 CVT2 YHR171W
Q12157	APC11_YEAST	APC11 YDL008W D2900
P48016	ATH1_YEAST	ATH1 YPR026W YP9367.06
Q08683	APC5_YEAST	APC5 RMC1 YOR249C
P38281	APD1_YEAST	APD1 YBR151W YBR1201
P40987	CIN1_YEAST	CIN1 YOR349W O6350
P22135	ATP12_YEAST	ATP12 YJL180C J0486
A6ZYV0	ATP22_YEAS7	ATP22 SCY_1238
P38207	APN2_YEAST	APN2 ETH1 YBL019W YBL0443
B5VL27	CIS3_YEAS6	CIS3 AWRI1631_100510
P32801	ELM1_YEAST	ELM1 YKL048C YKL261
E7NG53	BL1S4_YEASO	CLN1 FOSTERSO_0888
Q3E7B2	COA3_YEAST	COA3 COX25 RRG10 YJL062W-A
E7KV71	BBP1_YEASL	BBP1 QA23_4725
P14020	DPM1_YEAST	DPM1 SED3 YPR183W P9705.3
Q06631	BFR2_YEAST	BFR2 YDR299W
Q00955	ACAC_YEAST	ACC1 ABP2 FAS3 MTR7 YNR016C N3175
P38866	FMO1_YEAST	FMO1 YHR176W
P89113	DDR2_YEAST	DDR2 YOL052C-A YOL052BC YOL053C-A
P38874	ELP5_YEAST	IKI1 ELP5 HAP2 TOT5 YHR187W
Q06706	ELP1_YEAST	IKI3 ELP1 TOT1 YLR384C L3502.7
Q12676	FOLD_YEAST	FOL3 YMR113W YM9718.12
E7NMM0	FOLE_YEASO	MET7 FOSTERSO_4228
B3LLQ4	AIM34_YEAS1	AIM34 SCRG_01898
P47039	BNA3_YEAST	BNA3 YJL060W J1138
C8ZGX0	AIM41_YEAS8	AIM41 EC1118_1O4_4401g
B3LPY7	AIM23_YEAS1	AIM23 SCRG_03543
D3UEK1	AIM3_YEAS8	AIM3 EC1118_1B15_2542g
A6ZYG1	COQ4_YEAS7	COQ4 SCY_1099
P49017	COQ5_YEAST	COQ5 DBI56 YML110C YM8339.09C
P38080	AKL1_YEAST	AKL1 YBR059C YBR0519
P40450	BNR1_YEAST	BNR1 YIL159W
P38179	ALG3_YEAST	ALG3 RHK1 YBL082C YBL0720
C8Z543	ARO1_YEAS8	ARO1 EC1118_1D0_3829g
P04039	COX8_YEAST	COX8 YLR395C L8084.14
P53323	BUD32_YEAST	BUD32 LDB14 YGR262C
Q01217	ARG56_YEAST	ARG5,6 YER069W
Q01976	ADPP_YEAST	YSA1 YBR111C YBR0907
P40501	AVT7_YEAST	AVT7 YIL088C
P40529	AGE2_YEAST	AGE2 YIL044C
P06101	CDC37_YEAST	CDC37 SMO1 YDR168W YD9489.03
Q06697	CDC73_YEAST	CDC73 YLR418C
P43568	CAK1_YEAST	CAK1 CIV1 YFL029C
P38110	ATM_YEAST	TEL1 YBL088C YBL0706
P21306	ATP5E_YEAST	ATP15 YPL271W P0345
P21595	CP56_YEAST	DIT2 CYP56 YDR402C D9509.20
P47036	APQ13_YEAST	APQ13 YJL075C J1044
P16474	BIP_YEAST	KAR2 GRP78 SSD1 YJL034W J1248
E7KEX7	BLI1_YEASA	BLI1 AWRI796_2899
P50082	AMA1_YEAST	AMA1 SPO70 YGR225W G8541
P0CD90	AQY2_YEAST	AQY2 AQY2-2 YLL052C L0590
P47176	BCA2_YEAST	BAT2 TWT2 YJR148W J2209
P15274	AMPD_YEAST	AMD1 AMD YML035C
P38720	6PGD1_YEAST	GND1 YHR183W
E7LYB2	EIS1_YEASV	EIS1 VIN13_3618
P38231	FMP23_YEAST	FMP23 YBR047W YBR0422
P53095	DSD1_YEAST	DSD1 YGL196W G1315
P22007	FNTB_YEAST	RAM1 DPR1 SCG2 STE16 YDL090C D2412
P36001	FOLC_YEAST	RMA1 YKL132C
P47005	DAS1_YEAST	DAS1 YJL149W J0634
A6ZXU0	DBP10_YEAS7	DBP10 SCY_0878
B5VL46	AIM23_YEAS6	AIM23 AWRI1631_100700
A6ZQJ9	AIM23_YEAS7	AIM23 SCY_3160
A6ZVS1	AIM21_YEAS7	AIM21 SCY_2787
C8ZB86	AIM23_YEAS8	AIM23 EC1118_1J11_1123g
C8Z9Z8	AIM18_YEAS8	AIM18 FMP22 EC1118_1H13_1860g
B3LMW8	AIM4_YEAS1	AIM4 SOY1 SCRG_02777
C7GQ96	AIM36_YEAS2	AIM36 FMP39 C1Q_02491
P40493	BMT5_YEAST	BMT5 YIL096C
C8ZF15	AIM36_YEAS8	AIM36 FMP39 EC1118_1M3_3400g
C7GK20	AIM39_YEAS2	AIM39 C1Q_00534
A6ZM65	AIM34_YEAS7	AIM34 SCY_4177
A6ZQ37	AIM24_YEAS7	AIM24 FMP26 SCY_2998
B5VRJ9	AIM39_YEAS6	AIM39 AWRI1631_151070
