geneName,DEG_id,uniprot_id
PPIG,DEG20110459,Q13427
TLK1,DEG20110460,Q9UKI8
LRP2,DEG20110461,P98164
UBR3,DEG20110462,Q6ZT12
RAPGEF4,DEG20110463,Q8WZA2
DLX1,DEG20110464,P56177
SP3,DEG20110465,Q02447
WIPF1,DEG20110466,O43516
HNRNPA3,DEG20110467,P51991
SESTD1,DEG20110468,Q86VW0
OSBPL6,DEG20110469,Q9BZF3
AGPS,DEG20110470,O00116
CALCRL,DEG20110471,Q16602
COL5A2,DEG20110472,P05997
ZC3H15,DEG20110473,Q8WU90
NCKAP1,DEG20110474,Q9Y2A7
COL3A1,DEG20110475,P02461
STAT4,DEG20110476,Q14765
SLC40A1,DEG20110477,Q9NP59
GLS,DEG20110478,O94925
STAT1,DEG20110479,P42224
SF3B1,DEG20110480,O75533
HSPD1,DEG20110481,P10809
SLC39A10,DEG20110482,Q9ULF5
HECW2,DEG20110483,Q9P2P5
ORC2,DEG20110484,Q13416
FAM126B,DEG20110485,Q8IXS8
CFLAR,DEG20110486,O15519
SATB2,DEG20110487,Q9UPW6
SPATS2L,DEG20110488,Q9NUQ6
BMPR2,DEG20110489,Q13873
ADAM23,DEG20110490,O75077
KLF7,DEG20110491,O75840
INO80D,DEG20110492,Q53TQ3
RAPH1,DEG20110493,Q70E73
ABI2,DEG20110494,Q9NYB9
CREB1,DEG20110495,P16220
MAP2,DEG20110496,P11137
CCNYL1,DEG20110497,Q8N7R7
PIKFYVE,DEG20110498,Q9Y2I7
ERBB4,DEG20110499,Q15303
XRCC5,DEG20110500,P13010
IKZF2,DEG20110501,Q9UKS7
ARPC2,DEG20110502,O15144
USP37,DEG20110503,Q86T82
RQCD1,DEG20110504,Q92600
CTDSP1,DEG20110505,Q9GZU7
TNS1,DEG20110506,Q9HBL0
EPHA4,DEG20110507,P54764
PAX3,DEG20110508,P23760
SPEG,DEG20110509,Q15772
FARSB,DEG20110510,Q9NSD9
NYAP2,DEG20110511,Q9P242
CUL3,DEG20110512,Q13618
AGFG1,DEG20110513,P52594
TRIP12,DEG20110514,Q14669
PSMD1,DEG20110515,Q99460
EIF4E2,DEG20110516,O60573
NCL,DEG20110517,P19338
DGKD,DEG20110518,Q16760
GIGYF2,DEG20110519,Q6Y7W6
NGEF,DEG20110520,Q8N5V2
ATG16L1,DEG20110521,Q676U5
AGAP1,DEG20110522,Q9UPQ3
HDAC4,DEG20110523,P56524
ILKAP,DEG20110524,Q9H0C8
UBE2F,DEG20110525,Q969M7
PER2,DEG20110526,O15055
HDLBP,DEG20110527,Q00341
SNED1,DEG20110528,Q8TER0
KIF1A,DEG20110529,Q12756
ATG4B,DEG20110530,Q9Y4P1
GRM7,DEG20110531,Q14831
BHLHE40,DEG20110532,O14503
CNTN4,DEG20110533,Q8IWV2
ITPR1,DEG20110534,Q14643
SRGAP3,DEG20110535,O43295
